Features,Accuracy,Training_Time_sec,KMeans_Selection_Time_sec,Accuracy_Improvement_vs_Baseline,Accuracy_Improvement_Percentage,Speedup_vs_Baseline
10,0.7645631067961165,0.004560800999911407,5.168754909000086,0.009708737864077666,1.2861736334405138,35.64314821085177
20,0.8067961165048544,0.006000360000030014,4.37622779000003,0.051941747572815555,6.881028938906756,27.091925484342628
30,0.8325242718446602,0.01034844699995574,5.391324478999991,0.07766990291262132,10.28938906752411,15.708763450277953
40,0.8407766990291262,0.008889222000107111,9.012216531000036,0.08592233009708738,11.382636655948554,18.287461602160963
50,0.8577669902912621,0.015862444000049436,11.254282459000024,0.1029126213592233,13.633440514469452,10.248187858033518
60,0.8354368932038835,0.02325579299997571,12.587281292999933,0.08058252427184465,10.675241157556268,6.990142456127514
70,0.8339805825242719,0.07169755400002487,15.406254828000101,0.07912621359223304,10.482315112540197,2.26732010969282
80,0.8587378640776699,0.025606409999909374,16.294386959999997,0.10388349514563111,13.762057877813511,6.348461420426315
90,0.8621359223300971,0.03147162400000525,17.508451816999923,0.10728155339805823,14.212218649517682,5.1653294408962225
100,0.8689320388349514,0.022929557999987082,19.98239976499997,0.11407766990291257,15.112540192926039,7.089596144859611
